Site,Temp,pH,LON,LAT,"K00010","K00020","K00030","K00040","K00051","K00052","K00053","K00061","K00062","K00071","K00100","K00120","K00130","K00140","K00190","K00195","K00196","K00230","K00232","K00240","K00250","K00253","K00260","K00270","K00280","K00281","K00290","K00300","K00310","K00311","K00330","K00340","K00350","K00351","K00360","K00361","K00362","K00363","K00380","K00400","K00430","K00440","K00450","K00480","K00500","K00510","K00511","K00520","K00521","K00534","K00540","K00550","K00561","K00562","K00563","K00564","K00565","K00590","K00591","K00600","K00620","K00621","K00622","K00623","K00624","K00625","K00627","K00630","K00633","K00640","K00643","K00650","K00660","K00670","K00680","K00710","K00720","K00730","K00740","K00750","K00760","K00770","K00780","K00785","K00790","K00791","K00830","K00860","K00900","K00903","K00906","K00908","K00909","K00910","K00920","K00930","K00940","K00941","K00943","K00945","K00960","K00970","K00983","K00984","K01040","K01053","K02010","K02020","K02030","K02040","K02060","K03008","K03010","K03013","K03015","K03018","K03020","K03022","K03030","K03040","K03050","K03060","K03070","K03320","K03410","K03420","K03430","K03440","K04010","K04011","K04012","K04020","K04064","K04066","K04070","K04075","K04080","K04110","K04111","K04112","K04113","K04114","K04115","K04120","K04122","K04130","K04140","K04141","K04142","K04144","K04145","K04146","K04150","K04151","K04210","K04260","K04310","K04330","K04340","K04360","K04510","K04520","K04530","K04540","K04614","K04622","K04626","K04630","K04712","K04810","K04910","K04940","K04962","K04972","K04974","K05010","K05012","K05014","K05016","K05030","K05032","K05034","K05110","K05111","K05120","K05132","K05133","K05134","K05142","K05143","K05145","K05146","K05150","K05152","K05200","K05202","K05203","K05204","K05219","K05322","K05340","K05410"
AD,32.45,9.94,-102.024639,26.82825,63971.5,42727,31765.5,22428,30573,19588.5,619.5,22120.5,15.5,652.5,121,68,10490,2963.5,93764,1690.5,938.5,89268.5,13,38852.5,111961.5,1,89238.5,52214,34577.5,3570.5,47351.5,33132.5,12800.5,809,42418.5,26044,7360,40.5,14017,618.5,1090.5,17,2887,27492.5,209,628.5,7318,6807,47785.5,1727,4803,31176.5,18109,2.5,17244,26880,12700,520.5,4,11676,2,4292,34,94.5,52936.5,41.5,22,17.5,12.5,46,304,18922.5,5192.5,2288.5,16,5592,1098.5,13772.5,34511,351.5,9350,10638.5,11532.5,6623,26193,11846,3165,2488,6010,998.5,153.5,40733,20126,1.5,2729,1921.5,635,15250.5,17034,43,8122,425.5,2.5,285,319.5,170286,310.5,36,569,145.5,172465.5,73583.5,61081,30865.5,4650.5,68.5,89256,5427,182.5,67090,58022.5,615.5,42556,115.5,655.5,4121,49446,6,14959,45087,11143.5,29778,28.5,768.5,18,307.5,2,20869,3632.5,25.5,104,134.5,38,52318,3659.5,21.5,120,56.5,13223.5,1,12,3890.5,6039.5,102.5,65,26314.5,6.5,6326,20.5,199,7,4,6,1.5,109,12,20,34,1.5,6,9124,1,5,20,157,303.5,155,3.5,1075.5,272.5,68,6.5,17,560,82,13.5,118.5,641,4081.5,1687,9.5,4574.5,1108.5,111,3.5,668.5,155.5,22.5,3448,10.5,4558.5,889,483.5,42,784.5,10.5
DEVA,17.6,8.04,-116.768443,36.229188,45579.1666666667,32483.5,24330.6666666667,12154,15295.3333333333,9449.1666666667,826,18627.5,17.5,2233.3333333333,232.8333333333,104.6666666667,9761,4824.6666666667,72172.6666666667,2935.3333333333,353.3333333333,58693,18.5,22138.8333333333,83977.1666666667,15.8333333333,74046,46075,55469,7237.3333333333,35177.8333333333,27998.8333333333,14164.5,1154.1666666667,31436.8333333333,19655.6666666667,7707.3333333333,113.8333333333,14117.3333333333,1472.1666666667,2664,13.8333333333,3794.8333333333,19023.8333333333,1234.8333333333,1238.5,5152.8333333333,12133.5,24463,1443,1716.8333333333,18986.1666666667,13718.8333333333,10,9754.1666666667,16789.3333333333,7141.6666666667,738.8333333333,95,6318,19,5116.3333333333,143.5,503.8333333333,36968.5,83.3333333333,26.6666666667,21.6666666667,86.5,95.1666666667,916.8333333333,21468.6666666667,3074,4515.5,44,6520.1666666667,109,8846.1666666667,18274.5,829.6666666667,7502.3333333333,7690.1666666667,6433.5,3683.1666666667,18787.5,9105.5,4062.6666666667,1067.1666666667,3927.6666666667,441.5,99.3333333333,36629.5,14385,12,3026.8333333333,884.8333333333,1450.5,10820.6666666667,12880.5,1400,2802.6666666667,523.3333333333,14.1666666667,845.6666666667,529.3333333333,116212.666666667,563.3333333333,158.1666666667,2183,299,114919.666666667,74866.8333333333,13129.5,11581.5,1786.5,133.8333333333,50376.1666666667,3103.6666666667,361,51301,40640.8333333333,579,27734.5,1687,1332,1977.3333333333,37346.1666666667,84.1666666667,10889.8333333333,30440.3333333333,5643.8333333333,17347.5,141.8333333333,915.1666666667,97.8333333333,355,27.3333333333,17104.3333333333,2241.8333333333,29,125.8333333333,973,238.3333333333,36120.3333333333,1746.6666666667,152.1666666667,494,424.6666666667,11620.1666666667,25.5,147.8333333333,2408.8333333333,3775.1666666667,768.3333333333,611.3333333333,20308.5,44.1666666667,5535.8333333333,52.6666666667,139.5,140,47.5,89.3333333333,15.1666666667,973.8333333333,146.5,242.6666666667,485.3333333333,24.8333333333,29.3333333333,7583.3333333333,8.6666666667,19.1666666667,162.5,195.1666666667,238.1666666667,95.3333333333,31.3333333333,1075.6666666667,2012.1666666667,265.8333333333,25,407,507.6666666667,91.1666666667,15.5,71,578.3333333333,1820.5,411.6666666667,26,6607.8333333333,1525.6666666667,110.3333333333,79.8333333333,328.6666666667,40.8333333333,25.8333333333,4125.1666666667,119.6666666667,3060.6666666667,4240.3333333333,386.3333333333,346.6666666667,629.6666666667,289.8333333333
KOW,10.5,5.915,15.841175,50.784766,129658.666666667,96928,96034,22357.6666666667,50513.3333333333,23872.6666666667,1392,70044.3333333333,12.6666666667,11341.6666666667,320,225,41247,6949,253537.333333333,219.6666666667,2.3333333333,206235.333333333,11.6666666667,84590.3333333333,239288,3.6666666667,188785.666666667,143076.666666667,97344.3333333333,10957.3333333333,93205.3333333333,80141,21302.3333333333,2495.6666666667,140215.333333333,74923.6666666667,15331.6666666667,28,31062,5165,6183.6666666667,35,11905.6666666667,81750.6666666667,246.6666666667,4075.6666666667,12705.6666666667,39711,64972.3333333333,3751.3333333333,2446.3333333333,79172.6666666667,46523.6666666667,5,72288.6666666667,97196,29785.3333333333,1866.6666666667,20,41627.6666666667,16.6666666667,7563,455.3333333333,522.3333333333,116761.666666667,614.6666666667,287.6666666667,61.6666666667,82.3333333333,258.6666666667,2648.6666666667,69783,16523.6666666667,18582.3333333333,29,11964,1284.6666666667,34708.3333333333,53044.3333333333,2967,19918.3333333333,33420.6666666667,27516.6666666667,14065.6666666667,54328,33826.3333333333,23368.6666666667,4442.6666666667,22523.6666666667,1623,256.6666666667,114409.666666667,58178.3333333333,8,887,6372.6666666667,793,103753.333333333,32161,392.6666666667,8462,579,54.6666666667,453.6666666667,881,385158,2885,373.3333333333,4245.3333333333,1964.3333333333,382087.333333333,369318.333333333,129475,85361.6666666667,7200,14.6666666667,194648.333333333,8961,55.3333333333,152584,129110.333333333,65.6666666667,120077.333333333,341.3333333333,199.3333333333,8181.3333333333,180438.333333333,25.3333333333,39964.6666666667,88490.6666666667,26728.6666666667,68865.3333333333,33.3333333333,3698.3333333333,10.3333333333,296.6666666667,1.6666666667,33276.3333333333,12383.6666666667,33.3333333333,22.6666666667,92.3333333333,21.3333333333,116745.333333333,3876.6666666667,12.3333333333,215.6666666667,86.6666666667,59472,3.6666666667,8.3333333333,2006,6552.6666666667,124,94.6666666667,41196,10.3333333333,21120,61.6666666667,465,13,16.6666666667,14,5.3333333333,235.3333333333,11,24.3333333333,28.3333333333,11.3333333333,64,21525,2.3333333333,6.6666666667,10.3333333333,1043,540.3333333333,142.3333333333,7.6666666667,2038.3333333333,826.3333333333,81,1,23.3333333333,775.3333333333,263.3333333333,3.6666666667,941.6666666667,4274.6666666667,25308.6666666667,1349.3333333333,3.3333333333,14267.3333333333,2163.3333333333,267,1.3333333333,1067.6666666667,780.3333333333,173.6666666667,3130.3333333333,17.6666666667,11695,7557,853.6666666667,240.3333333333,1904,634.3333333333
LHC ,77.05,7,-118.8165,37.694518,40036.6666666667,29248.3333333333,27258.3333333333,8662.3333333333,23065.3333333333,11646,271.6666666667,23579,2,329,23.6666666667,21.3333333333,9412.6666666667,114.3333333333,96375.3333333333,12584.6666666667,5217,62731,8.3333333333,29676.6666666667,77618.6666666667,2,62113.3333333333,43608,39389,2152.6666666667,20497.6666666667,26653.6666666667,13744,4421.3333333333,34676.6666666667,22567,9430.6666666667,60,8903.6666666667,1643.6666666667,261.3333333333,1,1163.6666666667,26141.6666666667,9.3333333333,229.3333333333,6983.6666666667,4770.3333333333,26588,3861.3333333333,1570.6666666667,25458,18542.3333333333,2,15279,28068.6666666667,7930,700.6666666667,3,10287.6666666667,3.3333333333,5151.6666666667,54.6666666667,607.6666666667,36957,7,5.6666666667,4.6666666667,15.6666666667,601.6666666667,494.6666666667,14662,764.3333333333,1482,2.3333333333,2101,41.3333333333,9310,10743.3333333333,659,19752.6666666667,10956.6666666667,9145,4863.6666666667,21403,14189.6666666667,3290,1755.6666666667,5752,828,88.3333333333,89199,21865,18.3333333333,11407.3333333333,1727.6666666667,241.3333333333,7841,4394.6666666667,69.6666666667,2859.6666666667,1611.6666666667,1.6666666667,474.3333333333,637.6666666667,123543.666666667,36,359.3333333333,1540,36,121150,46533.3333333333,14016.6666666667,5337.6666666667,963.3333333333,4,68699.3333333333,1653.3333333333,20.3333333333,48716.3333333333,42169,91.6666666667,35366.6666666667,36,104.3333333333,3580.6666666667,35549.6666666667,3.6666666667,8505,39259.6666666667,14652,23759.6666666667,6.3333333333,351.6666666667,3.3333333333,124.6666666667,1.3333333333,12032.6666666667,3735.6666666667,7.6666666667,4.3333333333,10,5.6666666667,44370.3333333333,5702,4.6666666667,217.3333333333,14.3333333333,16291.3333333333,1,23.6666666667,4354.3333333333,1236,12.6666666667,8.6666666667,14103.3333333333,2.6666666667,6891.3333333333,86.6666666667,21.6666666667,4,2.3333333333,4.3333333333,1.3333333333,59.3333333333,13.3333333333,8.3333333333,8,5.6666666667,1.6666666667,5986,1.3333333333,3,1.3333333333,158.6666666667,3.6666666667,109.3333333333,1.6666666667,433,261.3333333333,14,2.3333333333,11,566.3333333333,965.3333333333,1.3333333333,3,1152,1557,295,4,6039,1325.3333333333,476.3333333333,2,991,38.3333333333,10.3333333333,1330,3,5044,570,201,16.3333333333,2070.6666666667,20.3333333333
MONO,11,9.17,-119.023778,37.993513,34274.6666666667,23976.6666666667,17249,9023,12533.3333333333,7830,383.3333333333,12333.3333333333,26.6666666667,501,175.3333333333,162,4733,1183,50531.3333333333,1662.3333333333,791.3333333333,47184.3333333333,17,19186.3333333333,60026,2.6666666667,49151.3333333333,31835.6666666667,24716.6666666667,2941.6666666667,22749,16292.3333333333,8280,571,24240,15849,4057,31.6666666667,9925.3333333333,200,827,3.3333333333,2233.3333333333,13559.3333333333,221.3333333333,527.6666666667,2819.3333333333,5305,20987.6666666667,1043.3333333333,1413,16025.6666666667,11276,36,6040,10730.3333333333,5058.6666666667,362.3333333333,63,4517.3333333333,5,2666.6666666667,106.6666666667,289.3333333333,24966.3333333333,56,3,24.6666666667,21,94.3333333333,194.3333333333,12529,919,2058,18.3333333333,4084.3333333333,367.6666666667,6137.6666666667,19760,477.6666666667,6655,5399.6666666667,6254,3299.6666666667,12812.3333333333,6946,2184,976,3690.3333333333,311.6666666667,62,16966,10172.6666666667,5.3333333333,1694,847,132.6666666667,3314.3333333333,6353.3333333333,113.3333333333,1885,194.6666666667,5.6666666667,117,159,94486.3333333333,62,76.6666666667,534.6666666667,77.6666666667,71185.3333333333,36058,10828.6666666667,7801,930.6666666667,70.6666666667,38653.3333333333,3565.6666666667,401.6666666667,35680.6666666667,32147,1166.6666666667,21958.6666666667,1748.6666666667,1236,1578.6666666667,26383.6666666667,32.3333333333,5423.6666666667,22276,4629,15686,124.6666666667,326.6666666667,100,326,12.6666666667,10427.3333333333,1600,67.6666666667,151.6666666667,1029,193.3333333333,26688.6666666667,1229.6666666667,108.6666666667,91.3333333333,484.3333333333,9228.3333333333,48.3333333333,107.6666666667,3053,2275.6666666667,653,455.6666666667,11775,60.3333333333,4414,95.6666666667,82,137,40.3333333333,68,28.3333333333,349.3333333333,107,167.6666666667,394.6666666667,10,17.3333333333,6330.3333333333,8,9.3333333333,67.3333333333,43,281.6666666667,109.6666666667,9,436.6666666667,823,185,17.3333333333,232.6666666667,394.3333333333,40.3333333333,8.3333333333,60.6666666667,414,1619,624.6666666667,2.6666666667,3383.6666666667,860.3333333333,68,61.6666666667,581.3333333333,11.6666666667,10.6666666667,1449.3333333333,271,2620,632.3333333333,323.6666666667,213.6666666667,567.6666666667,26.3333333333
ROTT,NA,7.86,115.51448,-31.999838,11489.7,6271.8,6070.9,2944.3,4543.9,2446.5,137.1,5862.2,3.3,897.1,18.9,125.1,2947,1042.6,22971.2,547.5,191.7,17050.7,11.4,7165.3,20858.7,2.7,22151.8,11855,14877.9,1085.4,7801.6,7695.7,4273.9,303.5,8653.1,5755.4,2548.4,31,3831.4,425.6,455.8,7.5,886.3,6561.4,347.2,213.5,1470.5,3436.4,6890,468.2,215.2,5356.6,3497.5,1.2,2130.7,6722.1,2759.3,325.2,14.6,2670.3,2.2,1709.5,28.8,46.7,11386.7,102,3.2,2.3,17.5,34.2,169.6,7929.7,894.4,1212.2,20.1,2694,20.2,2329.8,3280,128.4,2029.7,2947.7,2135.5,1183.2,6543,3209.2,749.4,464.4,1539.9,127,50.6,16727.1,4449.4,1.9,1864.8,399.4,237.7,2086.1,2903.4,79.6,749.6,390,3.6,149.2,113.6,31025.4,54,35.1,560.7,189.7,38771.5,19788.5,3528.3,2785.2,850.1,48.5,14119.6,654.8,90.6,11888.5,10453.4,267.4,8524.3,41.8,167.5,768.7,9459,3.3,3413.6,7876.4,2032.1,5062.2,5.4,268.2,4.4,42.5,1.3,3980.7,789.3,3.5,16,39.2,4.9,10496.9,409.3,2.8,105.7,7.9,3759.6,1.3,2.9,520.6,600.5,21.1,17.7,5502.5,1.6,708.9,6,11.9,4.3,1.8,3.2,1.5,33.8,2.4,6.9,4,2.9,1.6,1430.6,1.5,6.7,3.9,38.7,20.8,27,1.5,352,169.5,11.7,1.6,7.3,176.9,16.9,1.5,21.3,96.4,362.9,60.2,1.5,1727.2,500.2,7.1,2.3,102.4,21.6,63.2,1003.4,3.9,817,1218.3,160.1,8.7,371.4,23.4
SB,23.5,8,114.279,-26.421,3541.4666666667,2146.4666666667,1889.8666666667,1088.6,1248,1185.2,41.5333333333,1086.1333333333,1.2,41,6.4,5.3333333333,388.5333333333,316.4666666667,5063.4,88.2666666667,42.2,3910.5333333333,1.3333333333,1524.4666666667,5648.2666666667,1.6,4491.2666666667,2789,2498.6,272.8666666667,2457.4,1611.1333333333,603.4666666667,93.9333333333,1906.8666666667,1272.2666666667,422.4666666667,5.4666666667,816.9333333333,39.2666666667,70.9333333333,1.3333333333,168.0666666667,1208.6666666667,19,29,316.1333333333,364.3333333333,2228.0666666667,150.6,272.9333333333,1446.7333333333,1068.6,1.0666666667,516.7333333333,985.4,528.6666666667,40.5333333333,3.4,362.2,1.2,201.6666666667,2.3333333333,21.6,2639.7333333333,3.3333333333,1.8,2.3333333333,5.6666666667,13.1333333333,25.4666666667,1191.0666666667,238.4666666667,179.4,6.2666666667,340.4,20.5333333333,527.4666666667,2491.8666666667,28.2666666667,488.9333333333,482.3333333333,399.4,283.6666666667,1267.3333333333,563.5333333333,198.3333333333,56.2,263.4666666667,86,7.8666666667,1882.6,811.4666666667,1.3333333333,148.4666666667,65.2,46.8666666667,500.4,716.9333333333,16.9333333333,322.7333333333,20.4,2.6666666667,19.0666666667,23.4,8315.1333333333,14.6666666667,11.1333333333,50.3333333333,23.4,9246.2,4493.6,1568.0666666667,751.6,116.8666666667,4.0666666667,3197,284.2666666667,20.4,3192.2,2709.8666666667,68,1877.3333333333,7.6666666667,67.8666666667,117.8,2194.1333333333,1.4,645.7333333333,2249,410.2666666667,1263.4,2.9333333333,24.4,1.4,21.4666666667,1.3333333333,1231.7333333333,130.1333333333,2.7333333333,2.4,13.8666666667,2.2,2599.6666666667,155.2,1.4,7.8,3.3333333333,815.4,1,1.3333333333,202.6,292.4666666667,8.8666666667,9.4,1044.2666666667,1.2,359.0666666667,1.2666666667,7.4,2.4666666667,1.1333333333,2.1333333333,1.1333333333,38.3333333333,2.3333333333,1.3333333333,1.9333333333,1.3333333333,1.7333333333,505.4666666667,1.3333333333,1.2666666667,1.4,29.4,16.2666666667,8.9333333333,2,44.0666666667,34,3.5333333333,2.4,1.2666666667,39.1333333333,10.6666666667,1.4666666667,5,37.1333333333,89,38.2666666667,1.4,366.6,60.6666666667,9.0666666667,1,52.8666666667,3.7333333333,2,209.4666666667,1.1333333333,185.0666666667,89.4,30.2666666667,10,46.8666666667,5.2666666667
SCH,8.8,7.92,53.472543,6.122539,20530.5882352941,12735.9411764706,14934.6470588235,6453.5294117647,9559.1176470588,5448.705882353,574.2352941176,10869.1764705882,14.5294117647,1231.9411764706,109.2352941176,108.1176470588,7287.1764705882,3352.6470588235,39107.4705882353,5982.4705882353,2736.1176470588,30446.8235294118,24.7058823529,12598.4117647059,41490.8823529412,20.4705882353,39280.9411764706,21698.3529411765,25618.6470588235,3250.1764705882,17891.9411764706,14272,6734.8235294118,713.2352941176,23610.8235294118,11550.2941176471,4749.6470588235,56.7058823529,7268.1764705882,1637.2352941177,1315.9411764706,20.3529411765,2050.4117647059,12045.5294117647,473.1764705882,773.3529411765,2533.5882352941,7707.1764705882,15921.4117647059,1336.5294117647,1092.1176470588,10688.2352941176,7414.9411764706,6.2941176471,5291.7647058824,10392.5294117647,4802.6470588235,697.9411764706,91.2352941176,4398.705882353,8.5882352941,3027.8823529412,109.3529411765,179.2352941176,19207.1176470588,120.8823529412,19.7058823529,7.0588235294,51.7058823529,49.8823529412,861.8823529412,13431.9411764706,716.5294117647,1510.7647058824,172.6470588235,2481.0588235294,71.2941176471,4757.9411764706,5981.1176470588,963.1176470588,3293.9411764706,4756.2352941177,3680.1764705882,2179.1764705882,10988.5294117647,6161.1176470588,2205.9411764706,713.2352941176,2727.5294117647,755.0588235294,157.1764705882,27323.4117647059,8924.9411764706,6.2352941176,3109.8823529412,628.4705882353,584.3529411765,5428.4705882353,6231.705882353,411.2941176471,1785.2352941177,290.6470588235,30.5882352941,834.2941176471,565.4705882353,54815.5294117647,272.5294117647,131.2352941176,1721.4705882353,406.9411764706,79304.6470588235,37273.6470588235,7328.0588235294,5938.4705882353,1288.2352941177,12.3529411765,24112.3529411765,1042.2352941177,37.4705882353,27441.7647058824,19204.0588235294,16.5882352941,15353.4117647059,274.8823529412,331.8235294118,1094.4705882353,17420.1176470588,11.9411764706,6788.1176470588,14603.0588235294,3556.3529411765,9564.2941176471,27.6470588235,447.1176470588,15.1176470588,548.7647058824,62.1176470588,7676.2352941177,1822.705882353,11.3529411765,52.4705882353,111.8823529412,48.2352941176,16916.1764705882,2101.4705882353,15.9411764706,209.0588235294,70.4705882353,7165.5294117647,6.5294117647,15.3529411765,647.4117647059,1611.5882352941,120.1764705882,75.6470588235,9311.8235294118,9,2413.5294117647,37,47.2941176471,29.3529411765,22.0588235294,13.9411764706,12.4705882353,181.5882352941,26.7647058824,36.4705882353,49.7647058824,8.4705882353,5.8235294118,2843.5882352941,10.7647058824,8.3529411765,26.5294117647,508.0588235294,125.9411764706,81.2352941176,9.6470588235,504.1764705882,304.8235294118,20.1176470588,13.6470588235,46,437.1764705882,106.2941176471,5.4117647059,33.5294117647,1187.705882353,1776.4117647059,221.1764705882,5.9411764706,3001.2941176471,677.5294117647,49.2352941176,7.8235294118,255.9411764706,120.8823529412,29.0588235294,2097.2941176471,22.0588235294,1977.0588235294,3141.4117647059,348.4117647059,117.1176470588,862.2941176471,181.9411764706
ZS,10.2,7.8,19.158789,42.884356,91387,60971,62979.5,24451,35187.5,20297.5,2599.5,48758,68.5,6707.5,455.5,227,27765,11423.5,162079,175,3.5,139420.5,38,57902.5,167212,31.5,144722,94838.5,112235,14543,60634.5,57101,29285,3728.5,79835.5,52274,21821.5,138,26949,5663,11068,71,11343,48242.5,1486,4634.5,11174.5,27788.5,43663.5,3459.5,2108,54989.5,31567,107.5,40650.5,57505,16382,2735,159,18964,66,9750.5,1047.5,536,74968.5,700,233.5,41,321,291.5,4767,46943,6385.5,7949.5,145.5,12110.5,442.5,23593,26987,2455.5,17043.5,17385,15841,9176,43423.5,22665.5,13132,2920.5,13227.5,873,489,59374.5,36545,40.5,3082,3128,2173,39842,23501,1299,7559.5,973,65.5,1511,1582,250062.5,1605,825.5,4853,1364,240446.5,205369.5,35877,23351,2799,135.5,129415.5,6079,354,113168,94603,234.5,73741.5,2403.5,1822.5,6282,94998.5,107,28944.5,67120,15238.5,43110,279,2266.5,171.5,1369.5,54.5,30355.5,7152,70,164.5,1520.5,499.5,82841.5,5220.5,455,1131,798.5,31187,38,212.5,2306,7702,1127.5,883.5,39309.5,44,14271.5,127.5,587.5,258.5,91,257.5,25,1352,321.5,485,1093.5,45,19,14080.5,7,11,202.5,520,64,228.5,65.5,3880.5,6454,683,14,692,981.5,240.5,25,375,1505.5,8350,537.5,5,12161,3576,341.5,191.5,1487.5,347,169,7503.5,200,8177,8496,1427,465.5,1682,1096.5
