#NAME,ADM3_R1_q25,SSD4_S18_L001_R1_001,M1_2,DEVA_BWPP7_M,SSD7_S5_L001_R1_001,M9_2,G5088,SSD8_S7_L003_R1_001,LHC14.Cone.Pool.Cones,Zloty_Stok_ZS_2,Zloty_Stok_ZS_3,SD6_S2_L002_R1_001,JM5.R1,SSD4_S18_L002_R1_001,SSD8_S7_L004_R1_001,SSD10_S12_L002_R1_001,M8_1,SD7_S4_L001_R1_001,JM6.R1,DEVA_BWPP7_G,M8_2,M4_1,JM23.R1,M6_1,M7_1,SD3_S15_L001_R1_001,G5089,M5_2,SSD6_S3_L003_R1_001,G5090,JM29.R1,KOW_3,SD6_S2_L001_R1_001,GB14.Black.Soil.Upstream.of.Weir,ADM1_R1_q25,KOW_2,DEVA_BWPP7_L,M2_2,GB14.Orange.Biofilm.Below.Weir,SSD9_S9_L002_R1_001,SSD3_S16_L003_R1_001,JM30.R1,DEVA_BWPP7_N,M4__2,SD10_S10_L001_R1_001,M2_1,M5_1,JM26.R1,DEVA_BWPP7_H,GB14.Cone.Pool.Mat,JM4.R1,M1_1,KOW_0,JM31.R1,M6_2,SSD10_S12_L003_R1_001,ADM2_R1_q25,M7_2,JM15.R1,M3_1,JM8.R1,DEVA_BWPP7_I,M3_2
K03430,185,54,4090,4028,351,4209,5200,453,16757,11517,18958,621,2079,326,471,402,4754,773,1812,5784,4791,9,2057,17,4255,359,4629,4818,414,4055,2307,134,557,8197,19226,37697,4627,4038,13495,344,276,2215,4053,4285,376,4027,4609,2017,7928,13701,2015,4089,42352,1713,4162,362,3059,4423,2414,3853,1682,7437,12
K03440,623,137,11334,13941,965,12529,18063,1617,26638,29716,56502,1640,5713,1084,1472,1343,12711,2310,4775,16972,12820,80,4892,92,10760,1226,15582,12240,1291,13410,5712,331,1694,17665,51613,96722,17118,11197,22045,1091,929,5405,12088,11409,1033,11385,12077,5613,22814,22593,5188,11224,109540,4318,10761,1104,7941,10952,5703,10937,3293,21146,68
K03450,0,0,25,3,0,0,1,0,0,46,3,0,0,0,0,0,3,0,0,4,1,1,2,1,6,0,1,1,0,2,0,0,0,0,1,4,0,14,0,0,0,0,2,7,0,12,3,0,11,0,0,38,0,0,7,0,0,1,13,127,0,15,0
K04010,2,0,48,68,2,24,131,2,3,453,103,1,3,5,1,2,25,3,2,138,21,0,7,2,19,2,155,30,1,85,7,2,3,87,46,36,42,43,11,1,1,9,65,24,4,39,32,6,257,2,3,45,59,1,27,1,9,19,2,50,4,275,5
K04011,9,5,480,482,18,616,391,22,516,1711,2820,43,302,11,32,9,582,54,168,1169,557,3,255,12,665,23,318,527,35,268,332,56,59,945,1303,5736,451,488,289,7,13,248,697,511,12,481,563,206,1262,247,230,502,5300,187,431,8,232,634,361,526,383,1424,6
K04012,0,0,28,43,0,4,114,2,0,257,84,0,1,0,0,0,1,2,0,100,3,0,9,0,5,1,139,11,1,44,2,0,0,23,32,14,61,24,5,0,0,6,45,13,0,35,21,0,153,2,0,31,14,2,12,0,2,8,12,44,2,179,0
K04013,0,0,4,3,0,2,4,0,0,27,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,11,3,0,8,0,0,0,5,0,0,3,4,0,0,0,0,3,1,0,1,0,0,4,0,0,6,0,0,0,0,0,2,0,4,1,5,0
K04020,55,2,690,197,8,111,345,17,126,1923,814,60,25,17,20,18,1384,40,19,311,1310,0,46,1,38,10,432,1134,15,198,37,2,60,1243,455,218,210,616,208,10,8,50,188,600,14,628,1095,15,555,37,5,667,667,11,480,8,158,37,115,521,92,663,0
K04060,0,0,3,0,0,5,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,5,0,0,2,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,8,1,1,0,0,4,0,0,2,0,0,2,0,3,0,0,0
K04062,0,0,2,3,0,3,0,0,0,10,6,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,4,0,0,8,0,0,3,0,0,0,0,0,2,0,1,0,6,0
K04064,0,0,65,6,0,8,9,0,0,52,55,1,0,0,1,0,327,1,0,55,250,0,0,0,3,1,14,81,0,12,0,0,0,12,2,2,7,29,1,0,0,1,4,19,1,30,75,0,40,0,0,53,0,0,44,0,0,5,0,50,2,46,0
K04066,452,182,8570,13684,1018,10925,11381,1599,12097,22299,38410,1562,4305,1029,1554,1347,10142,2295,3668,17175,10331,24,3490,18,8548,1100,10751,9424,1273,9147,4707,27,1647,10939,35948,47979,16768,9394,10864,1042,718,4252,11362,9724,1012,9126,9371,3986,22589,13134,3591,8391,51820,3594,9138,1083,5788,8477,4976,8847,3228,21042,29
K04070,76,16,1990,1425,107,1986,1853,162,4498,5508,8794,229,802,108,157,118,2867,181,605,2400,2787,74,849,52,2106,112,1529,2535,115,1415,1044,116,214,4205,6237,18218,1569,2045,3590,114,106,1004,1695,2085,100,2041,2564,743,3407,3116,674,1849,18814,632,2022,98,1026,2097,913,1846,617,2949,23
K04075,0,0,9,12,2,5,62,2,7,79,59,5,1,0,1,1,8,1,3,36,4,0,0,0,11,2,92,30,1,46,2,0,5,16,43,30,19,8,0,3,1,3,13,22,1,20,17,6,54,13,5,9,67,4,11,1,6,15,1,7,0,34,0
K04080,0,0,70,52,0,77,157,3,1,237,90,5,13,1,3,1,43,2,7,85,44,1,23,8,28,2,193,62,0,102,23,1,1,67,183,39,27,80,8,1,0,22,194,45,1,52,74,2,154,1,3,78,25,9,86,1,23,40,25,76,23,237,11
K04110,0,2,276,360,8,25,1120,13,0,2169,870,7,13,16,13,33,16,23,4,1461,15,1,13,0,22,12,1364,71,8,600,31,4,10,188,249,167,375,219,10,11,6,8,286,114,13,233,87,9,1569,17,9,260,103,21,138,18,18,40,81,366,193,1781,2
K04111,6,0,88,83,1,11,214,4,2,811,186,1,0,4,0,1,18,3,1,269,23,0,4,0,19,1,276,48,0,87,8,0,0,32,66,28,99,96,10,0,2,3,64,50,0,90,46,1,432,2,2,139,33,12,47,1,8,32,5,96,3,477,0
K04112,586,373,19269,28888,2152,24075,30866,3022,49301,62911,102770,3958,12430,2059,3007,2558,22873,4799,10137,36136,22736,66,9590,85,18973,2545,26246,21701,2487,22951,12115,193,3926,26188,89656,168163,35929,19692,39766,2137,1670,11017,26045,20309,2207,19350,21431,11104,47319,44041,11019,19110,181877,9249,19780,2080,14978,19106,11938,18941,6360,42399,61
K04113,281,20,2837,1583,147,1527,1331,143,6461,2303,8136,240,236,121,161,152,2175,333,301,1796,2099,0,369,0,3052,122,1348,3352,145,1007,399,3,273,3318,5797,5212,1962,2283,5328,137,84,354,1120,2574,128,2226,3207,415,2086,5314,287,2694,6412,429,2501,107,1520,3180,751,2001,542,1927,0
K04114,0,0,36,54,0,8,109,2,1,719,189,0,1,1,0,0,2,0,1,253,2,0,4,0,8,0,121,13,0,93,0,0,1,20,28,24,53,27,2,1,0,2,43,21,0,26,15,0,253,8,0,34,10,1,15,1,13,21,6,26,3,251,0
K04115,0,0,247,239,4,258,101,3,111,1231,1029,22,123,11,7,2,218,11,103,521,205,0,97,0,278,4,99,223,2,71,154,0,19,58,184,328,280,218,204,3,4,106,284,298,6,207,222,118,914,334,90,228,316,98,370,4,54,254,124,311,34,720,0
K04120,0,0,198,176,4,29,490,3,10,1286,309,1,4,1,4,1,25,7,0,434,18,0,15,1,23,4,624,61,4,336,15,0,0,212,97,126,193,113,14,2,0,4,196,84,3,125,65,4,676,16,2,175,131,10,73,1,14,22,9,169,6,867,0
K04122,201,78,8565,8706,581,8394,10207,966,19133,22365,40007,1120,4080,674,978,899,10017,1435,3166,11987,10246,26,3505,41,7984,735,9128,9867,820,8347,4591,742,1128,15038,22698,84458,10508,8349,15760,724,579,3958,7873,8614,738,8213,9575,3842,15830,13978,3541,8236,93213,3002,7870,761,3747,7870,4626,7896,3275,14811,34
K04130,0,0,16,2,0,0,49,0,0,66,8,0,0,0,0,0,2,0,0,25,5,0,1,0,0,0,60,7,0,33,0,0,0,19,0,5,2,10,0,0,0,0,6,4,0,7,4,0,58,0,0,13,3,1,7,0,0,0,1,19,0,54,0
K04140,0,0,33,46,0,8,109,0,12,316,107,0,1,0,0,1,5,0,1,203,7,0,2,0,2,0,155,7,0,56,2,0,3,26,19,10,76,40,27,1,0,3,29,19,0,31,14,0,246,29,1,16,12,1,11,0,3,5,7,46,1,281,0
K04141,56,23,803,2007,75,270,2919,215,5589,2464,2146,137,347,214,277,372,1146,302,365,2207,1060,4,237,2,281,200,3310,1075,203,2927,238,2,149,2988,6874,2471,2792,946,3777,233,98,215,899,806,256,981,1056,366,2733,3694,365,822,3542,399,652,270,905,302,729,781,1935,3809,2
K04142,158,29,2152,3273,262,1057,2499,347,552,6471,8931,401,736,214,356,268,708,562,625,3765,779,64,471,45,2624,248,2593,1780,400,1732,634,10,430,444,10508,8455,3830,2127,1126,258,189,394,2088,2516,205,2087,1798,848,4662,2027,690,2098,11190,662,2527,203,1569,2584,498,2374,437,5027,60
K04144,0,0,260,346,6,39,697,8,13,1632,621,9,16,5,15,9,61,12,16,825,77,0,29,0,65,5,856,100,8,403,16,0,11,231,188,243,470,228,20,12,6,24,282,138,6,219,97,16,1224,2,16,222,126,30,151,6,15,86,18,282,20,1457,1
K04145,1,1,188,296,2,18,505,9,0,1361,404,10,1,4,15,8,11,24,8,719,5,0,6,0,21,5,557,61,11,302,15,0,7,73,112,151,332,165,6,16,2,9,233,83,3,157,53,6,892,17,11,173,130,13,67,9,16,12,26,255,72,1190,0
K04146,286,107,10990,14905,774,13731,13305,1262,14662,26470,52147,1586,5658,807,1252,1080,10299,1819,5150,22558,10307,111,5144,107,11591,1017,12032,11443,1030,9985,6791,11,1635,11793,44783,55215,17762,11363,13238,911,732,6020,13889,11067,801,11571,11419,5779,27282,14407,5065,11060,68359,4885,10554,836,7844,11458,6398,11120,4125,25449,93
K04150,0,0,16,16,0,4,61,0,0,60,26,0,0,2,0,0,0,0,0,50,0,0,0,0,2,1,85,5,0,32,3,2,0,14,9,12,25,14,2,0,0,0,16,6,0,19,11,0,63,3,0,17,14,2,13,0,2,4,0,24,1,89,1
K04151,57,33,2575,4662,218,2904,4823,420,7391,11683,16858,528,422,343,422,358,2829,607,507,5792,2951,8,882,9,3770,413,4507,3232,345,3909,1035,39,518,3687,10610,29394,5492,2691,6436,330,245,958,3945,2845,267,2756,3034,641,6813,6844,260,2519,33924,803,2589,324,2040,3838,1035,2450,536,6505,13
K04210,0,0,41,18,0,7,75,0,3,173,80,0,0,0,0,0,80,2,0,69,69,0,9,0,77,0,138,36,1,71,4,0,0,9,36,61,11,45,14,0,1,4,28,20,0,33,25,11,88,240,10,29,121,1,31,0,3,77,5,42,6,96,0
K04260,0,0,59,131,0,61,94,10,12,574,599,5,6,6,10,9,23,10,7,133,24,0,13,0,12,3,82,103,9,67,16,0,7,12,355,502,157,79,7,8,4,15,81,58,10,89,69,8,154,43,7,63,890,13,49,5,41,11,15,87,9,175,0
K04270,0,0,0,3,0,2,8,0,0,32,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,17,0,0,3,0,0,0,6,3,3,2,2,6,2,0,0,6,1,0,2,0,0,20,0,0,1,1,0,1,0,2,5,0,3,0,13,0
K04310,0,0,42,63,1,18,133,3,2,389,126,0,1,2,1,3,16,5,1,158,19,1,9,1,25,0,189,25,0,86,2,2,0,72,12,18,50,36,5,4,0,3,72,32,0,45,29,8,223,2,2,58,16,2,19,3,0,26,1,90,4,268,0
K04320,0,0,0,9,0,2,17,0,0,20,15,0,0,0,0,0,0,0,0,14,2,0,2,0,3,0,20,1,0,18,0,1,0,15,3,2,5,0,2,0,0,0,13,1,0,2,6,0,25,0,0,0,0,0,1,0,0,2,0,3,0,47,0
K04330,1,0,37,17,0,7,57,0,1,131,49,0,0,0,0,0,12,0,0,56,4,0,3,0,21,0,35,25,1,26,0,0,0,26,6,25,13,30,0,0,1,0,8,18,0,48,31,0,75,3,2,45,22,0,24,0,0,25,1,31,2,110,0
K04340,0,0,20,22,1,43,62,4,0,375,138,1,0,0,0,1,8,3,0,124,5,0,2,0,12,3,87,14,1,52,5,1,1,57,8,14,48,21,7,0,2,0,21,19,0,16,12,3,165,3,3,14,24,5,12,0,2,8,3,16,1,150,0
K04350,0,0,6,0,0,8,5,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,3,0,9,0,0,0,8,0,2,0,3,0,0,0,1,1,2,0,3,7,0,2,0,0,2,0,0,5,0,0,3,1,4,0,9,0
K04360,0,0,11,6,0,17,16,0,0,43,5,0,0,0,0,0,10,1,0,15,9,0,0,1,6,0,38,22,0,28,1,0,1,43,0,5,8,8,1,0,0,1,4,10,0,18,32,0,27,0,0,5,8,0,13,0,1,10,0,22,3,25,1
K04370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K04380,0,0,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,6,3,0,3,0,0,0,2,0,0,1,4,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,2,0,0,2,0,6,0,4,0
K04390,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,0
K04510,0,2,255,807,37,91,309,57,9,1815,887,33,31,39,36,34,75,62,28,1054,61,1,33,0,205,53,484,183,44,252,34,0,52,208,192,345,936,285,37,29,23,24,536,547,26,293,175,12,1330,129,16,253,358,41,202,33,24,194,63,250,46,1174,0
K04512,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,8,0,1,0,0,2,0,0,0,7,1,0,0,6,0,0,0,0,1,1,0,1,3,0,2,0,0,1,0,0,1,0,0,0,1,1,0,6,0
K04514,0,0,4,1,0,9,2,0,0,9,1,0,0,0,0,0,6,0,0,0,5,1,0,0,5,0,5,9,0,8,1,1,0,21,0,0,0,3,1,0,0,0,1,12,0,5,10,0,5,0,0,6,0,0,5,0,0,6,0,4,1,7,0
K04520,0,0,67,51,2,12,81,0,0,536,105,0,0,2,2,4,9,2,0,173,14,0,2,0,16,4,160,15,0,77,0,0,0,55,19,16,43,60,0,1,0,0,35,34,3,47,27,0,269,37,1,47,14,1,22,0,3,11,4,57,6,302,0
K04530,0,0,77,116,0,19,157,1,0,806,162,0,1,0,0,0,18,0,1,241,17,0,10,0,21,1,220,31,1,123,7,0,1,96,38,47,92,71,18,1,0,12,157,56,0,49,43,6,346,4,0,61,23,16,36,0,0,17,2,86,4,498,1
K04540,0,0,106,231,0,31,407,0,0,1712,473,3,0,1,0,0,11,5,2,600,13,0,6,0,13,0,575,41,0,199,4,2,3,85,51,47,169,105,17,0,2,2,283,66,0,115,46,1,750,4,2,92,33,3,56,0,15,19,7,113,3,873,2
K04610,0,0,9,3,0,5,1,0,0,11,11,0,0,0,0,0,3,1,0,4,4,0,2,0,7,1,3,4,0,2,0,0,1,0,15,3,9,4,0,1,0,1,0,5,0,4,4,1,9,0,0,5,12,3,9,0,5,6,1,8,3,3,0
K04612,0,0,1,1,0,0,19,0,0,1,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,9,2,0,6,0,0,0,1,0,0,1,5,0,0,0,0,5,2,0,5,4,0,15,0,0,6,0,0,4,0,0,0,0,11,0,18,0
K04614,0,0,13,21,0,15,7,0,1,17,71,1,5,1,1,0,1,1,1,29,5,0,2,0,7,0,12,7,0,8,2,0,0,5,1,8,20,15,4,0,0,2,15,6,1,16,5,0,30,9,0,16,23,1,6,0,0,2,1,13,5,28,0
K04620,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0
K04621,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
K04622,0,1,9,33,0,2,20,0,2,21,15,1,0,0,1,0,1,0,0,13,1,0,1,0,10,0,18,4,1,11,0,0,1,3,8,142,49,13,0,4,0,0,12,7,1,10,4,0,36,0,0,4,47,0,3,1,2,5,4,9,1,27,0
K04623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K04626,212,78,3255,5969,382,4366,6999,570,5866,9555,18604,757,1411,470,583,531,3781,940,1311,7910,3871,5,1280,4,3347,515,6339,3328,492,5650,1811,13,742,3140,15900,30234,7139,3433,5562,425,263,1647,5337,3366,411,3545,3228,1456,9765,6527,1280,3191,34325,1358,3051,408,2346,3323,1713,3228,1029,9374,2
K04630,0,0,11,2,0,30,4,0,0,8,4,0,0,0,1,0,12,2,2,12,9,0,0,0,4,0,12,6,0,5,0,1,1,6,0,2,4,19,1,1,0,0,5,5,0,18,6,0,16,0,0,15,1,1,11,0,0,1,1,19,1,7,0
K04640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
K04650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K04660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K04662,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K04666,0,0,3,5,0,1,4,0,0,4,4,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,6,0,3,6,0,12,0,0,4,0,0,2,0,1,0,0,4,0,9,0
K04670,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,1,0,2,0,1,0,1,0,2,0,0,0,0,0,0,8,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,2,0,3,0
K04672,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
K04710,0,0,4,2,1,4,0,1,2,7,4,1,1,2,1,1,2,1,2,13,2,0,0,0,6,0,8,3,0,12,2,0,0,0,0,7,4,7,2,1,1,0,3,9,0,3,3,0,13,1,4,8,0,7,2,1,0,7,0,7,0,44,0
K04711,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,0,12,0,1,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0
K04712,0,0,7,4,0,3,4,0,4,0,20,1,14,0,1,0,23,1,4,23,16,0,1,0,2,1,19,11,0,2,8,0,0,1,1,9,5,8,2,0,0,5,20,14,0,9,5,8,25,0,6,9,8,1,10,0,7,6,8,2,2,32,0
K04722,0,0,4,1,0,2,8,3,0,3,1,0,0,0,0,0,2,2,0,0,1,0,0,0,3,0,7,0,0,10,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,1,0,2,0
K04723,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K04730,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K04740,0,0,0,0,0,1,0,0,3,20,8,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,0,1,0,0,0,0,2,12,1,3,2,0,0,0,3,5,0,2,0,1,4,2,0,3,14,0,1,0,0,0,1,3,1,12,0
K04742,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,1,0,2,0,0,0,0,1,0,3,0
K04744,0,0,10,3,0,5,8,0,0,24,3,0,0,0,0,0,1,0,0,5,3,0,0,0,0,0,4,1,0,3,1,0,0,0,16,3,6,2,1,1,0,0,6,1,0,2,0,0,17,0,0,3,1,0,4,0,2,0,2,10,1,8,0
K04745,0,0,3,6,0,0,12,0,0,32,5,0,0,0,0,0,0,0,1,6,0,0,3,0,0,0,52,0,0,18,0,0,0,35,0,1,2,1,1,0,0,1,8,3,0,4,1,1,22,0,0,4,0,1,1,0,0,1,0,5,2,30,0
K04810,0,0,56,186,0,35,65,0,1,333,70,2,0,0,0,0,12,0,9,117,8,0,4,0,21,0,93,13,1,41,0,0,0,79,27,19,147,45,0,0,2,2,85,33,0,51,15,4,244,0,3,54,9,0,29,1,11,11,0,51,7,190,0
K04910,3,2,591,202,38,404,47,30,69,294,744,26,40,24,27,26,890,68,26,168,890,0,79,0,348,45,41,924,33,38,47,0,21,1719,262,1597,232,458,271,36,19,76,150,743,10,455,891,8,248,133,28,557,1529,24,603,21,50,451,31,415,18,165,0
K04912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K04920,0,0,2,0,0,0,4,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,3,0
K04930,0,0,2,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,1,4,0,0,0,0,5,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0
K04940,0,2,224,325,9,85,373,14,0,29,97,19,25,12,31,11,80,24,19,145,37,4,9,0,89,18,271,163,13,198,21,0,25,92,472,381,379,154,0,12,11,9,189,191,16,193,137,25,194,8,13,210,1237,23,200,12,133,102,12,252,42,191,3
K04950,0,0,0,0,0,3,0,0,0,9,3,0,0,0,0,0,0,0,0,4,5,0,1,0,2,0,1,0,0,3,0,0,0,0,0,0,3,4,0,0,0,0,4,2,0,3,0,0,7,0,0,2,1,0,0,0,0,3,0,0,0,18,0
K04960,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
K04962,0,0,160,41,10,48,86,7,36,195,260,20,19,4,7,9,10,15,12,116,25,0,16,0,155,5,135,76,8,105,14,0,8,136,209,299,67,102,77,3,4,10,35,92,11,102,63,36,130,212,20,185,125,24,82,8,99,138,65,126,44,177,0
K04964,0,0,0,2,0,0,1,0,0,4,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,6,0
K04966,0,0,2,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,5,1,0,4,0,0,1,0,0,0,0,0,0,0,1,0,2,0
K04970,0,0,5,2,0,5,0,0,0,5,0,0,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,5,0,0,1,0,0,0,0,0,2,1,2,0,6,0
K04971,0,0,0,0,0,5,0,0,0,2,1,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,2,0,2,0,0,1,0,0,2,0,0,2,0,1,0,4,0
K04972,0,1,20,9,0,5,6,2,0,87,42,1,0,2,0,0,1,4,0,45,1,0,0,0,6,2,17,2,1,1,0,0,1,5,5,11,13,16,1,0,0,1,6,12,0,20,6,2,46,1,0,10,9,1,10,1,0,8,1,28,0,63,2
K04973,0,0,0,4,0,1,2,0,0,3,9,0,3,0,0,0,3,0,0,7,2,0,3,0,2,0,2,6,0,4,9,0,0,0,4,2,2,8,0,1,0,1,5,12,0,1,6,2,20,0,1,2,0,0,4,0,0,3,0,1,8,18,0
K04974,51,5,521,577,25,746,470,47,493,4161,3598,69,357,42,41,42,671,97,407,1103,660,4,234,10,696,31,496,533,30,341,357,0,80,221,1970,2976,623,661,437,41,35,281,786,615,28,610,526,459,1757,366,519,495,3136,252,616,33,179,720,418,470,226,1602,0
K04975,0,0,8,15,0,0,2,0,0,15,3,0,0,0,0,0,2,0,0,7,2,0,0,0,1,0,3,3,0,0,1,0,0,5,0,1,7,8,0,0,0,0,4,4,0,9,5,0,16,2,0,9,1,0,2,0,2,1,0,11,0,20,0
K04976,0,0,0,0,0,1,0,0,0,7,19,0,0,0,0,0,4,0,2,3,5,0,0,0,2,0,2,2,0,0,0,0,0,6,1,2,0,0,0,0,0,0,1,2,0,4,2,0,4,0,0,1,2,2,5,0,1,1,0,0,0,4,0
K05010,6,6,507,1043,17,321,950,42,179,10712,2194,37,153,28,41,21,244,69,133,2410,291,6,165,3,211,30,1063,360,27,453,238,6,74,345,454,1234,961,470,214,26,30,217,1173,401,23,451,334,169,3337,388,136,463,1236,147,304,24,89,202,218,591,109,3143,6
K05012,10,0,26,141,1,26,236,2,19,1118,246,2,11,2,1,6,21,2,10,301,36,0,20,0,13,2,234,9,4,82,5,0,3,95,122,92,146,37,9,1,2,8,105,26,7,22,12,11,422,11,10,26,148,14,18,3,12,14,9,39,9,474,0
K05014,0,0,31,13,1,7,10,0,2,19,7,0,2,1,1,0,8,5,0,25,3,0,0,0,5,1,20,16,3,19,0,0,2,8,11,0,16,17,0,2,0,0,17,21,3,21,10,1,48,2,0,42,0,1,8,2,0,4,2,22,0,25,0
K05016,1,0,103,149,0,8,277,0,9,1087,295,0,3,0,0,0,8,1,1,425,6,0,5,0,16,1,279,15,0,139,6,0,0,93,28,31,135,103,13,0,1,4,133,68,1,118,13,3,620,8,8,81,36,14,74,0,4,12,11,140,8,974,0
