#NAME,ADM3_R1_q25,SSD4_S18_L001_R1_001,M1_2,DEVA_BWPP7_M,SSD7_S5_L001_R1_001,M9_2,G5088,SSD8_S7_L003_R1_001,LHC14.Cone.Pool.Cones,Zloty_Stok_ZS_2,Zloty_Stok_ZS_3,SD6_S2_L002_R1_001,JM5.R1,SSD4_S18_L002_R1_001,SSD8_S7_L004_R1_001,SSD10_S12_L002_R1_001,M8_1,SD7_S4_L001_R1_001,JM6.R1,DEVA_BWPP7_G,M8_2,M4_1,JM23.R1,M6_1,M7_1,SD3_S15_L001_R1_001,G5089,M5_2,SSD6_S3_L003_R1_001,G5090,JM29.R1,KOW_3,SD6_S2_L001_R1_001,GB14.Black.Soil.Upstream.of.Weir,ADM1_R1_q25,KOW_2,DEVA_BWPP7_L,M2_2,GB14.Orange.Biofilm.Below.Weir,SSD9_S9_L002_R1_001,SSD3_S16_L003_R1_001,JM30.R1,DEVA_BWPP7_N,M4__2,SD10_S10_L001_R1_001,M2_1,M5_1,JM26.R1,DEVA_BWPP7_H,GB14.Cone.Pool.Mat,JM4.R1,M1_1,KOW_0,JM31.R1,M6_2,SSD10_S12_L003_R1_001,ADM2_R1_q25,M7_2,JM15.R1,M3_1,JM8.R1,DEVA_BWPP7_I,M3_2
K00830,0,1,194,57,6,50,79,8,180,532,444,16,30,7,1,7,111,14,32,85,130,0,80,0,66,5,62,329,4,42,50,0,10,1554,203,347,81,263,58,5,4,91,72,213,6,279,345,28,158,24,23,228,420,30,228,9,102,72,74,147,58,137,0
K00860,953,152,32320,22433,1451,27330,20399,2101,108962,43108,75639,3794,19199,1378,2223,1581,39522,3015,13371,37795,39671,117,19043,135,31260,1562,16778,37703,1563,13718,21873,510,3870,78990,66488,163803,22635,31430,86477,1338,1569,21253,28255,31781,1404,31180,37594,14723,55444,72155,15115,32301,178913,12469,31673,1223,14976,31148,19236,29169,10979,53209,147
K00900,484,95,9521,9907,653,10948,11357,947,26841,26901,46187,1319,4649,543,1011,899,12579,1327,3697,15383,12717,17,4520,13,11356,682,10083,11219,748,9075,5430,25,1319,15433,34758,83317,11086,10372,21198,644,581,5078,10153,10689,669,10152,11105,4434,20372,17553,4126,9556,91190,3365,10471,720,5492,11378,5627,9592,3558,19403,22
K00901,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,2,1,0,0,0,1,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
K00903,0,0,7,5,0,10,3,0,6,3,76,1,0,0,0,0,0,0,0,9,1,0,3,0,3,1,8,8,2,2,2,0,0,3,1,9,10,8,11,0,1,2,12,10,0,6,3,0,15,35,0,7,12,1,6,0,0,7,0,13,1,15,0
K00904,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,1,0,0,2,0,0
K00905,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
K00906,127,13,3825,1595,109,3246,2081,169,15733,3422,2740,368,1855,90,138,104,4068,221,1573,3101,3888,11,2175,6,3918,127,1650,4344,126,1348,2494,1,372,10811,4041,1059,1220,3679,10832,79,123,2286,2419,3560,110,3658,4235,1544,4948,7654,1651,3867,1598,1325,3393,63,1415,3768,2457,3372,1278,4872,13
K00908,13,8,715,652,57,905,964,69,1940,2384,3870,99,430,51,66,89,818,114,420,933,974,2,450,0,701,36,808,844,62,766,465,0,113,1287,3303,8448,796,684,1775,51,42,387,634,720,49,670,839,451,1207,1465,473,717,10667,283,681,57,538,762,382,632,243,1081,3
K00909,0,1,703,742,39,287,125,60,210,1762,2582,81,213,24,55,45,1464,59,168,1915,1491,0,243,0,643,45,131,533,58,139,287,0,111,1450,1031,591,611,598,271,29,37,197,1224,566,16,599,493,160,2066,240,182,716,1785,140,381,28,237,639,721,804,56,2139,0
K00910,216,23,6108,7635,403,5635,3795,542,10126,34325,45357,1073,1193,311,551,337,10835,861,956,10965,11013,31,3021,18,4923,435,3397,7824,411,2748,3589,168,1127,12806,25535,142361,9007,5337,7127,347,393,3201,9169,6283,341,5366,7852,1216,13176,6267,927,5929,168728,1247,5100,336,4964,4933,2660,5070,2841,14966,10
K00920,119,93,6874,9670,483,7330,7304,869,4236,15931,31069,1197,3149,608,839,714,9503,1195,2650,13377,9589,25,2581,27,7882,613,6493,7401,714,5260,3250,16,1175,8066,29206,45959,11497,7038,3808,610,468,3064,8846,7246,598,7055,7438,3039,17574,5137,2852,6793,50505,2721,6989,563,4860,7945,3634,6762,2084,16313,25
K00930,8,1,497,462,5,402,117,18,24,167,2429,22,104,21,17,16,365,33,77,2581,399,0,78,0,480,27,137,556,19,83,106,0,17,73,62,510,428,607,52,7,10,97,968,476,21,596,527,53,2450,130,91,495,665,47,410,5,22,489,82,676,51,1505,0
K00940,234,48,2292,2486,363,1512,2106,378,2305,4626,10491,445,722,246,342,294,1877,652,831,1997,1846,4,582,0,2425,309,1958,2469,357,1588,698,1,467,3304,13721,10884,3124,2302,2478,260,180,536,1946,2110,241,2251,2417,923,3902,3793,801,2257,14498,819,2221,244,2521,2386,914,1963,660,3355,0
K00941,3,1,305,245,19,388,223,29,2005,286,1658,40,490,13,19,15,278,29,437,619,279,0,267,0,365,17,205,352,15,153,357,0,30,584,750,770,228,378,1664,16,21,326,422,464,11,349,394,595,748,1163,535,326,964,321,329,16,99,364,317,353,245,872,0
K00943,0,0,30,10,2,37,7,0,1,2,127,2,2,0,1,3,55,5,2,16,51,0,0,0,21,1,6,20,1,1,2,0,3,17,3,95,11,46,1,2,2,6,9,30,1,60,26,1,20,0,0,37,66,0,34,2,0,21,11,35,2,13,0
K00944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00945,0,5,1159,282,12,725,150,29,354,195,2825,36,131,35,23,4,1268,39,99,1416,1210,0,156,0,678,10,110,1034,10,88,200,0,39,1145,432,650,169,1110,297,4,14,197,684,889,6,1071,1077,119,1476,769,120,1076,708,67,823,5,136,743,283,1298,110,1041,5
K00960,7,0,662,315,25,1182,208,37,886,313,2849,47,121,14,22,18,564,37,102,719,523,0,126,0,672,17,138,649,18,128,170,1,33,446,549,1504,340,704,652,15,17,108,420,684,19,735,636,78,781,372,99,565,1135,54,674,17,88,604,180,740,88,595,2
K00970,2187,926,60999,92201,6324,73755,105823,10154,139157,185324,314799,11071,33704,6977,9891,9281,74985,14757,28295,117995,75321,248,27828,219,64000,8140,94106,68014,8252,83527,35792,495,11627,79235,294781,551071,110842,65264,110798,7443,5347,32845,79073,65617,7258,65278,67545,32104,153506,120673,30878,60207,603905,27316,63142,7264,45789,64908,36481,62097,25001,143653,248
K00980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K00981,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
K00983,4,1,320,246,12,349,76,17,17,858,2350,16,62,11,18,29,445,23,43,788,453,1,66,0,325,13,53,391,7,54,78,38,8,138,558,4505,336,233,37,14,13,67,380,296,10,241,329,25,937,51,41,302,4109,20,219,13,61,347,100,361,28,687,4
K00984,0,0,121,134,11,181,78,12,237,302,1347,17,28,4,20,11,96,20,12,125,93,3,27,5,169,5,82,196,11,67,43,0,11,151,68,483,239,162,331,6,10,22,121,160,7,182,191,64,213,507,38,152,634,29,208,7,2,169,36,121,42,111,5
K01040,3,8,1790,1081,29,2495,698,70,1807,2488,7216,86,609,48,60,51,2580,97,474,2717,2609,12,560,21,1993,32,521,2306,49,382,722,0,95,3156,967,6674,1239,1921,1681,31,31,623,1668,2024,41,1977,2226,480,3290,1129,553,1735,6059,364,1769,12,169,1946,800,1836,412,3097,8
K01053,0,1,765,200,15,231,99,23,38,327,2399,30,190,15,18,32,490,45,137,317,455,0,238,0,291,10,65,519,18,66,229,0,47,1129,233,3126,204,423,36,14,14,177,186,472,23,473,473,154,445,31,135,881,2764,101,428,31,56,312,191,688,335,436,0
